
5.5.1.2.2, Initial registration initiation
5.5.1.2.3, 5GMM common procedure initiation
5.5.1.2.4, Initial registration accepted by the network
5.5.1.2.5, Initial registration not accepted by the network
5.5.1.2.6, Initial registration for emergency services not accepted by the network
5.5.1.3.2, Mobility and periodic registration update initiation
5.5.1.3.3, 5GMM common procedure initiation
5.5.1.3.4, Mobility and periodic registration update accepted by the network
5.5.1.3.5, Mobility and periodic registration update not accepted by the network
5.5.1.3.6, Mobility and periodic registration update for initiating an emergency PDU session not accepted by the network
5.5.2.2.1, UE-initiated de-registration procedure initiation
5.5.2.2.2, UE-initiated de-registration procedure completion
5.5.2.2.3, UE-initiated de-registration procedure completion for 5GS services over 3GPP access
5.5.2.2.4, UE-initiated de-registration procedure completion for 5GS services over non-3GPP access
5.5.2.2.5, UE-initiated de-registration procedure completion for 5GS services over both 3GPP access and non-3GPP access
5.5.2.3.1, Network-initiated de-registration procedure initiation
5.5.2.3.2, Network-initiated de-registration procedure completion by the UE
5.5.2.3.3, Network-initiated de-registration procedure completion by the network
5.5.4.3, UE-initiated authentication and key agreement procedure initiation
5.5.4.4, UE-initiated authentication and key agreement procedure accepted by the network
5.5.4.5, UE-initiated authentication and key agreement procedure not accepted by the network
