Section ID, Section Name
5.6, 5GMM connection management procedures
5.6.1, Service request procedure
5.6.1.1, General
5.6.1.2, Service request procedure initiation
5.6.1.2.1, UE is not using 5GS services with control plane CIoT 5GS optimization
5.6.1.2.2, UE is using 5GS services with control plane CIoT 5GS optimization
5.6.1.3, Common procedure initiation
5.6.1.4, Service request procedure accepted by the network
5.6.1.4.1, UE is not using 5GS services with control plane CIoT 5GS optimization
5.6.1.4.2, UE is using 5GS services with control plane CIoT 5GS optimization
5.6.1.5, Service request procedure not accepted by the network
5.6.1.6, Service request procedure for initiating an emergency PDU session not accepted by the network
5.6.1.7, Abnormal cases in the UE
5.6.1.8, Abnormal cases on the network side
5.6.2, Paging procedure
5.6.2.1, General
5.6.2.2, Paging for 5GS services
5.6.2.2.1, General
5.6.2.2.2, Abnormal cases on the network side
5.6.2.2.3, Abnormal cases in the UE
5.6.3, Notification procedure
5.6.3.1, General
5.6.3.2, Notification procedure initiation
5.6.3.3, Notification procedure completion
5.6.3.4, Abnormal cases on the network side
5.6.3.5, Abnormal cases on the UE side
