Section ID, Section Name
1, Scope
2, References
3, Definitions and abbreviations
3.1, Definitions
3.2, Abbreviations
4, General
4.1, Overview
4.2, Coordination between the protocols for 5GS mobility management and 5GS session management
4.3, UE domain selection
4.3.1, UE's usage setting
4.3.2, Domain selection for UE originating sessions / calls
4.3.3, Change of UE's usage setting
4.3.4, Change or determination of IMS voice availability
4.4, NAS security
4.4.1, General
4.4.2, Handling of 5G NAS security contexts
4.4.3, Handling of NAS COUNT and NAS sequence number
4.4.4, Integrity protection of NAS signalling messages
4.4.5, Ciphering of NAS signalling messages
4.4.6, Protection of initial NAS signalling messages
4.4.7, Protection of NAS IEs
4.5, Unified access control
4.5.1, General
4.5.2, Determination of the access identities and access category associated with a request for access for UEs not operating in SNPN access operation mode over 3GPP access
4.5.3, Operator-defined access categories
4.5.4, Access control and checking
4.5.5, Exception handling and avoiding double barring
4.5.6, Mapping between access categories/access identities and RRC establishment cause
4.6, Network slicing
4.6.1, General
4.6.2, Mobility management aspects
4.6.3, Session management aspects
4.7, NAS over non-3GPP access
4.7.1, General
4.7.2, 5GS mobility management aspects
4.7.3, 5GS session management aspects
4.7.4, Limited service state over non-3GPP access
4.7.5, NAS signalling using trusted WLAN access network
4.8, Interworking with E-UTRAN connected to EPC
4.8.1, General
4.8.2, Single-registration mode
4.8.3, Dual-registration mode
4.8.4, Core Network selection for UEs not using CIoT 5GS optimizations
4.9, Disabling and re-enabling of UE's N1 mode capability
4.9.1, General
4.9.2, Disabling and re-enabling of UE's N1 mode capability for 3GPP access
4.9.3, Disabling and re-enabling of UE's N1 mode capability for non-3GPP access
4.9.4, Disabling and re-enabling of UE's satellite NG-RAN capability
4.10, Interworking with ePDG connected to EPC
4.11, UE configuration parameter updates
4.12, Access traffic steering, switching and splitting (ATSSS)
4.13, Support of NAS signalling using wireline access network
4.14, Non-public network (NPN)
4.14.1, General
4.14.2, Stand-alone non-public network (SNPN)
4.14.3, Public network integrated non-public network (PNI-NPN)
4.15, Time synchronization and time sensitive communication
4.15.1, General
4.15.2, Void
4.15.3, Time synchronization
4.15.4, User plane node management
4.16, UE radio capability signalling optimisation
4.17, 5GS mobility management in NB-N1 mode
4.18, 5GS session management in NB-N1 mode
4.19, 5GS mobility management in WB-N1 mode for IoT
4.20, 5GS session management in WB-N1 mode for IoT
4.22.1, General
4.22.2, Authentication and authorization of UAV
4.22.3, Authorization of C2 communication
4.22.4, Void
4.22.5, Support of no-transmit zone
4.23, NAS over Non-Terrestrial Network
4.23.1, General
4.23.2, List of "PLMNs not allowed to operate at the present UE location"
4.23.3, 5GS mobility management via a satellite NG-RAN cell
4.23.4, 5GS session management via a satellite NG-RAN cell
4.23.5, Handling multiple tracking area codes from the lower layers
4.24, Minimization of service interruption
4.25, Support of MUSIM features
4.26, Support for Personal IoT Network service
4.27, Mobile base station relay support
4.28, NAS-specific aspects of mobile gNB with wireless access backhauling (MWAB)
4.28.1, General
4.28.2, Authorization of MWAB-UE
4.28.3, Control of UE access via MWAB
4.29, Support of indirect network sharing
5, Elementary procedures for 5GS mobility management
5.1, Overview
5.1.1, General
5.1.2, Types of 5GMM procedures
5.1.3, 5GMM sublayer states
5.1.4, Coordination between 5GMM and EMM
5.1.5, Coordination between 5GMM and GMM
5.2, Behaviour of the UE in state 5GMM-DEREGISTERED and state 5GMM-REGISTERED
5.2.1, General
5.2.2, UE behaviour in state 5GMM-DEREGISTERED
5.2.3, UE behaviour in state 5GMM-REGISTERED
5.3, General on elementary 5GMM procedures
5.3.1, 5GMM modes and N1 NAS signalling connection
5.3.2, Permanent identifiers
5.3.3, Temporary identities
5.3.4, Registration areas
5.3.5, Service area restrictions
5.3.6, Mobile initiated connection only mode
5.3.7, Handling of the periodic registration update timer and mobile reachable timer
5.3.8, Handling of timer T3502
5.3.9, Handling of NAS level mobility management congestion control
5.3.10, Handling of DNN based congestion control
5.3.11, Handling of S-NSSAI based congestion control
5.3.12, Handling of local emergency numbers
5.3.13, Lists of 5GS forbidden tracking areas
5.3.14, List of equivalent PLMNs
5.3.15, Transmission failure abnormal case in the UE
5.3.16, Extended DRX cycle for UEs in 5GMM-IDLE and 5GMM-CONNECTED mode with RRC inactive indication
5.3.17, Service Gap Control
5.3.18, Restriction on use of enhanced coverage
5.3.19, Handling of congestion control for transport of user data via the control plane
5.3.20, Specific requirements for UE when receiving non-integrity protected reject messages
5.3.21, CIoT 5GS optimizations
5.3.22, Interaction between MICO mode with active time and extended idle mode DRX cycle
5.3.23, Forbidden wireline access area
5.3.24, WUS assistance
5.3.25, Paging Early Indication with Paging Subgrouping Assistance
5.3.26, Support for unavailability period
5.4, 5GMM common procedures
5.4.1, Primary authentication and key agreement procedure
5.4.2, Security mode control procedure
5.4.3, Identification procedure
5.4.4, Generic UE configuration update procedure
5.4.5, NAS transport procedure(s)
5.4.6, 5GMM status procedure
5.4.7, Network slice-specific authentication and authorization procedure
5.5, 5GMM specific procedures
5.5.1, Registration procedure
5.5.2, De-registration procedure
5.5.3, eCall inactivity procedure
5.5.4, Authentication and key agreement procedure for 5G ProSe UE-to-network relay and 5G ProSe UE-to-UE relay
5.6, 5GMM connection management procedures
5.6.1, Service request procedure
5.6.2, Paging procedure
5.6.3, Notification procedure
6, Elementary procedures for 5GS session management
6.1, Overview
6.1.1, General
6.1.2, Types of 5GSM procedures
6.1.3, 5GSM sublayer states
6.1.4, Coordination between 5GSM and ESM
6.1.5, Coordination for interworking with ePDG connected to EPC
6.2, General on elementary 5GSM procedures
6.2.1, Principles of PTI handling for 5GSM procedures
6.2.2, PDU session types
6.2.3, PDU session management
6.2.4, IP address allocation
6.2.5, Quality of service
6.2.6, Local area data network (LADN)
6.2.7, Handling of DNN based congestion control
6.2.8, Handling of S-NSSAI based congestion control
6.2.9, Interaction with upper layers
6.2.10, Handling of 3GPP PS data off
6.2.11, Multi-homed IPv6 PDU session
6.2.12, Handling of network rejection not due to congestion control
6.2.13, Handling of Small data rate control
6.2.14, Handling of Serving PLMN rate control
6.2.15, Handling of Reliable Data Service
6.2.16, Handling of header compression for control plane CIoT optimizations
6.2.17, Handling of edge computing enhancements
6.2.18, Support of redundant PDU sessions
6.2.19, Handling of maximum group data rate limitation control
6.2.20, Support of UL PDU set handling
6.3, Network-requested 5GSM procedures
6.3.1, PDU session authentication and authorization procedure
6.3.2, Network-requested PDU session modification procedure
6.3.3, Network-requested PDU session release procedure
6.4, UE-requested 5GSM procedures
6.4.1, UE-requested PDU session establishment procedure
6.4.2, UE-requested PDU session modification procedure
6.4.3, UE-requested PDU session release procedure
6.5, 5GSM status procedure
6.5.1, General
6.5.2, 5GSM status received in the UE
6.5.3, 5GSM status received in the SMF
6.6, Miscellaneous procedures
6.6.1, Exchange of extended protocol configuration options
6.6.2, Remote UE report procedure
7, Handling of unknown, unforeseen, and erroneous protocol data
7.1, General
7.2, Message too short or too long
7.2.1, Message too short
7.2.2, Message too long
7.3, Unknown or unforeseen procedure transaction identity or PDU Session identity
7.3.1, Procedure transaction identity
7.3.2, PDU Session identity
7.4, Unknown or unforeseen message type
7.5, Non-semantical mandatory information element errors
7.5.1, Common procedures
7.5.2, 5GS mobility management
7.5.3, 5GS session management
7.6, Unknown and unforeseen IEs in the non-imperative message part
7.6.1, IEIs unknown in the message
7.6.2, Out of sequence IEs
7.6.3, Repeated IEs
7.6.4, Unknown and unforeseen IEs in a Type 6 IE container information element
7.7, Non-imperative message part errors
7.7.1, Syntactically incorrect optional IEs
7.7.2, Conditional IE errors
7.7.3, Errors in a Type 6 IE container information element
7.8, Messages with semantically incorrect contents
8, Message functional definitions and contents
8.1, Overview
8.2, 5GS mobility management messages
8.2.1, Authentication request
8.2.2, Authentication response
8.2.3, Authentication result
8.2.4, Authentication failure
8.2.5, Authentication reject
8.2.6, Registration request
8.2.7, Registration accept
8.2.8, Registration complete
8.2.9, Registration reject
8.2.10, UL NAS transport
8.2.11, DL NAS transport
8.2.12, De-registration request (UE originating de-registration)
8.2.13, De-registration accept (UE originating de-registration)
8.2.14, De-registration request (UE terminated de-registration)
8.2.15, De-registration accept (UE terminated de-registration)
8.2.16, Service request
8.2.17, Service accept
8.2.18, Service reject
8.2.19, Configuration update command
8.2.20, Configuration update complete
8.2.21, Identity request
8.2.22, Identity response
8.2.23, Notification
8.2.24, Notification response
8.2.25, Security mode command
8.2.26, Security mode complete
8.2.27, Security mode reject
8.2.28, Security protected 5GS NAS message
8.2.29, 5GMM status
8.2.30, Control Plane Service request
8.2.31, Network slice-specific authentication command
8.2.32, Network slice-specific authentication complete
8.2.33, Network slice-specific authentication result
8.2.34, Relay key request
8.2.35, Relay key accept
8.2.36, Relay key reject
8.2.37, Relay authentication request
8.2.38, Relay authentication response
8.3, 5GS session management messages
8.3.1, PDU session establishment request
8.3.2, PDU session establishment accept
8.3.3, PDU session establishment reject
8.3.4, PDU session authentication command
8.3.5, PDU session authentication complete
8.3.6, PDU session authentication result
8.3.7, PDU session modification request
8.3.8, PDU session modification reject
8.3.9, PDU session modification command
8.3.10, PDU session modification complete
8.3.11, PDU session modification command reject
8.3.12, PDU session release request
8.3.13, PDU session release reject
8.3.14, PDU session release command
8.3.15, PDU session release complete
8.3.16, 5GSM status
8.3.17, Service-level authentication command
8.3.18, Service-level authentication complete
8.3.19, Remote UE report
8.3.20, Remote UE report response
9, General message format and information elements coding
9.1, Overview
9.1.1, NAS message format
9.1.2, Field format and mapping
9.2, Extended protocol discriminator
9.3, Security header type
9.4, PDU session identity
9.5, Spare half octet
9.6, Procedure transaction identity
9.7, Message type
9.8, Message authentication code
9.9, Plain 5GS NAS message
9.10, Sequence number
9.11, Other information elements
9.11.1, General
9.11.2, Common information elements
9.11.3, 5GS mobility management (5GMM) information elements
9.11.4, 5GS session management (5GSM) information elements
9.12, 3GPP specific coding information defined within present document
9.12.1, Serving network name (SNN)
10, List of system parameters
10.1, General
10.2, Timers of 5GS mobility management
10.3, Timers of 5GS session management
10.4, Void
